,story,story_id,question,answer,reason,question_id
10,"In the late 19th century, Paris was the epicenter of a major artistic shift, with Impressionism taking center stage; the artists of the time took their canvases outside, seeking to capture the transient effects of light and color. However, by the early 20th century, the torch passed to New York, where the Abstract Expressionist movement was born, focusing on emotional intensity and self-expression. In the mid-20th century, the Pop Art movement crossed the Atlantic and exploded onto the British art scene in London, inspired by the increasing commercialization of culture. By contrast, at the beginning of the 21st century, Dubai became the heart of Middle Eastern modern art with a focus on futuristic architecture and design. Throughout these periods, the synthesis of Literary and Artistic Movements reshaped the landscape of global art, pushing forward and manifesting in different locations around the world.",52,"Where did the artistic shift probably occur before it moved to Paris in the late 19th century?
A. London
B. New York
C. Dubai
D. Not mentioned in the story",D. Not mentioned in the story,There is no information in the text about where the artistic movement occurred before it moved to Paris.,2
11,"In the late 19th century, Paris was the epicenter of a major artistic shift, with Impressionism taking center stage; the artists of the time took their canvases outside, seeking to capture the transient effects of light and color. However, by the early 20th century, the torch passed to New York, where the Abstract Expressionist movement was born, focusing on emotional intensity and self-expression. In the mid-20th century, the Pop Art movement crossed the Atlantic and exploded onto the British art scene in London, inspired by the increasing commercialization of culture. By contrast, at the beginning of the 21st century, Dubai became the heart of Middle Eastern modern art with a focus on futuristic architecture and design. Throughout these periods, the synthesis of Literary and Artistic Movements reshaped the landscape of global art, pushing forward and manifesting in different locations around the world.",52,"Which city became the center of the artistic movement after New York in the early 20th century?
A. Paris
B. London
C. Dubai
D. Not mentioned in the story",B. London,"After New York, the story mentions that the Pop Art movement exploded onto the British art scene in London.",3
12,"In the late 19th century, Paris was the epicenter of a major artistic shift, with Impressionism taking center stage; the artists of the time took their canvases outside, seeking to capture the transient effects of light and color. However, by the early 20th century, the torch passed to New York, where the Abstract Expressionist movement was born, focusing on emotional intensity and self-expression. In the mid-20th century, the Pop Art movement crossed the Atlantic and exploded onto the British art scene in London, inspired by the increasing commercialization of culture. By contrast, at the beginning of the 21st century, Dubai became the heart of Middle Eastern modern art with a focus on futuristic architecture and design. Throughout these periods, the synthesis of Literary and Artistic Movements reshaped the landscape of global art, pushing forward and manifesting in different locations around the world.",52,"In which century did the Pop Art movement emerge?
A. 19th Century 
B. 20th Century
C. 21st Century
D. None of the above",B. 20th Century,The story mentions that the Pop Art movement emerged in the mid-20th century in London.,4
13,"In the late 19th century, Paris was the epicenter of a major artistic shift, with Impressionism taking center stage; the artists of the time took their canvases outside, seeking to capture the transient effects of light and color. However, by the early 20th century, the torch passed to New York, where the Abstract Expressionist movement was born, focusing on emotional intensity and self-expression. In the mid-20th century, the Pop Art movement crossed the Atlantic and exploded onto the British art scene in London, inspired by the increasing commercialization of culture. By contrast, at the beginning of the 21st century, Dubai became the heart of Middle Eastern modern art with a focus on futuristic architecture and design. Throughout these periods, the synthesis of Literary and Artistic Movements reshaped the landscape of global art, pushing forward and manifesting in different locations around the world.",52,"Which region did Dubai represent in the global art scene?
A. Europe
B. America
C. Middle East
D. Africa",C. Middle East,The text mentioned that Dubai became the heart of Middle Eastern modern art.,5
14,"In the late 19th century, Paris was the epicenter of a major artistic shift, with Impressionism taking center stage; the artists of the time took their canvases outside, seeking to capture the transient effects of light and color. However, by the early 20th century, the torch passed to New York, where the Abstract Expressionist movement was born, focusing on emotional intensity and self-expression. In the mid-20th century, the Pop Art movement crossed the Atlantic and exploded onto the British art scene in London, inspired by the increasing commercialization of culture. By contrast, at the beginning of the 21st century, Dubai became the heart of Middle Eastern modern art with a focus on futuristic architecture and design. Throughout these periods, the synthesis of Literary and Artistic Movements reshaped the landscape of global art, pushing forward and manifesting in different locations around the world.",52,"What might be the distinguishing factor of the art movement that took place in Dubai compared to previous movements?
A. The use of light and color
B. Emotional intensity and self-expression
C. Focus on futuristic architecture and design
D. Inspired by the increasing commercialization of culture",C. Focus on futuristic architecture and design,The text mentions that the art focus in Dubai at the beginning of the 21st century was on futuristic architecture and design.,6
15,"In 2058, a team of scientists at the Quantum Physics Lab in New York discovered a space-time anomaly that allowed them to transport an apple between their lab and an identical lab in Tokyo. They used quantum entanglement to achieve this feat, which, in simple terms, allowed one apple to exist simultaneously in two places at the same time. In 2060, they perfected the technique to control when the apple will appear in the destination lab. By 2062, they were able to scale up the experiment to transport a human being for exactly 30 minutes before they would automatically return to the original location. In 2064, they discovered how to extend the transport duration indefinitely if the transported subject was kept asleep.",53,"In which year did the scientists discover how to control the time of an apple's appearance in the destination lab?
Answer choices
A. 2058
B. 2060
C. 2062
D. 2064",B. 2060,The story mentioned that they perfected the technique to control an apple's appearance time in the destination lab in 2060.,2
16,"In 2058, a team of scientists at the Quantum Physics Lab in New York discovered a space-time anomaly that allowed them to transport an apple between their lab and an identical lab in Tokyo. They used quantum entanglement to achieve this feat, which, in simple terms, allowed one apple to exist simultaneously in two places at the same time. In 2060, they perfected the technique to control when the apple will appear in the destination lab. By 2062, they were able to scale up the experiment to transport a human being for exactly 30 minutes before they would automatically return to the original location. In 2064, they discovered how to extend the transport duration indefinitely if the transported subject was kept asleep.",53,"Two years after the first discovery, what was the primary achievement of the scientists?
Answer choices
A. Transportation of a human being
B. Controlling the time of appearance of the apple
C. Extending the transport duration
D. Scaling down the experiment",B. Controlling the time of appearance of the apple,"In 2058, they discovered the anomaly and two years later in 2060, they learned how to control the time of appearance of the apple.",3
17,"In 2058, a team of scientists at the Quantum Physics Lab in New York discovered a space-time anomaly that allowed them to transport an apple between their lab and an identical lab in Tokyo. They used quantum entanglement to achieve this feat, which, in simple terms, allowed one apple to exist simultaneously in two places at the same time. In 2060, they perfected the technique to control when the apple will appear in the destination lab. By 2062, they were able to scale up the experiment to transport a human being for exactly 30 minutes before they would automatically return to the original location. In 2064, they discovered how to extend the transport duration indefinitely if the transported subject was kept asleep.",53,"What happens for the anomalies to occur indefinitely?
Answer choices
A. The object is kept awake
B. The object remains motionless
C. The object is kept asleep
D. The object is transported to another dimension",C. The object is kept asleep,"It was discovered in 2064 that to extend the transport duration indefinitely, the transported subject should be kept asleep.",4
18,"In 2058, a team of scientists at the Quantum Physics Lab in New York discovered a space-time anomaly that allowed them to transport an apple between their lab and an identical lab in Tokyo. They used quantum entanglement to achieve this feat, which, in simple terms, allowed one apple to exist simultaneously in two places at the same time. In 2060, they perfected the technique to control when the apple will appear in the destination lab. By 2062, they were able to scale up the experiment to transport a human being for exactly 30 minutes before they would automatically return to the original location. In 2064, they discovered how to extend the transport duration indefinitely if the transported subject was kept asleep.",53,"What breakthrough was accomplished in 2062?
Answer choices
A. Controlling the appearance of the objects 
B. Transporting a human 
C. Discovering quantum entanglement 
D. Extending the transport duration",B. Transporting a human,"According to the story timeline, the breakthrough in 2062 was successfully transporting a human using the space-time anomaly.",5
19,"In 2058, a team of scientists at the Quantum Physics Lab in New York discovered a space-time anomaly that allowed them to transport an apple between their lab and an identical lab in Tokyo. They used quantum entanglement to achieve this feat, which, in simple terms, allowed one apple to exist simultaneously in two places at the same time. In 2060, they perfected the technique to control when the apple will appear in the destination lab. By 2062, they were able to scale up the experiment to transport a human being for exactly 30 minutes before they would automatically return to the original location. In 2064, they discovered how to extend the transport duration indefinitely if the transported subject was kept asleep.",53,"How long would a human stay in the remote location before automatically returning?
Answer choices
A. 30 hours 
B. Indefinitely 
C. 30 minutes 
D. Dependent on the distance",C. 30 minutes,"In 2062, they were able to transport humans for exactly 30 minutes before they returned to the original location.",6
20,"In the wake of devastating earthquakes that rocked Nepal in 2015, international humanitarian missions sprang into action. The first group to arrive on the scene was a Canadian team that landed in the capital, Kathmandu, a week after the disaster, bringing with them needed medical supplies. Two weeks following the quake, The American Red Cross had set up shop in the badly hit city of Pokhara, providing shelter kits to the homeless population. Meanwhile, at the same time, a team from the United Kingdom had arrived in Dhading, distributing education materials and rebuilding schools. In the third month since the calamity hit, French volunteers arrived in the village of Gorkha, setting up clinics and proclaiming their intention to stay as long as necessary.",54,"Which international team arrived first after the earthquake?
Answer choices
A) American Red Cross
B) Canadian team
C) French volunteers
D) UK team",B) Canadian team,The story mentions that the first group to arrive in Nepal following the earthquake was the Canadian team.,2
21,"In the wake of devastating earthquakes that rocked Nepal in 2015, international humanitarian missions sprang into action. The first group to arrive on the scene was a Canadian team that landed in the capital, Kathmandu, a week after the disaster, bringing with them needed medical supplies. Two weeks following the quake, The American Red Cross had set up shop in the badly hit city of Pokhara, providing shelter kits to the homeless population. Meanwhile, at the same time, a team from the United Kingdom had arrived in Dhading, distributing education materials and rebuilding schools. In the third month since the calamity hit, French volunteers arrived in the village of Gorkha, setting up clinics and proclaiming their intention to stay as long as necessary.",54,"Based on the actions of the groups, what needs were addressed first?
Answer choices
A) Medical
B) Shelter
C) Education
D) Long-term recovery efforts",A) Medical,"According to the story, the first group to come, the Canadian team, had brought needed medical supplies. This implies that medical needs were addressed first.",3
22,"In the wake of devastating earthquakes that rocked Nepal in 2015, international humanitarian missions sprang into action. The first group to arrive on the scene was a Canadian team that landed in the capital, Kathmandu, a week after the disaster, bringing with them needed medical supplies. Two weeks following the quake, The American Red Cross had set up shop in the badly hit city of Pokhara, providing shelter kits to the homeless population. Meanwhile, at the same time, a team from the United Kingdom had arrived in Dhading, distributing education materials and rebuilding schools. In the third month since the calamity hit, French volunteers arrived in the village of Gorkha, setting up clinics and proclaiming their intention to stay as long as necessary.",54,"Where was the last international group mentioned in the story stationed?
Answer choices
A) Kathmandu
B) Pokhara
C) Dhading
D) Gorkha",D) Gorkha,"The location where the last mentioned international group, the French volunteers, established their aid efforts was the village of Gorkha.",4
23,"In the wake of devastating earthquakes that rocked Nepal in 2015, international humanitarian missions sprang into action. The first group to arrive on the scene was a Canadian team that landed in the capital, Kathmandu, a week after the disaster, bringing with them needed medical supplies. Two weeks following the quake, The American Red Cross had set up shop in the badly hit city of Pokhara, providing shelter kits to the homeless population. Meanwhile, at the same time, a team from the United Kingdom had arrived in Dhading, distributing education materials and rebuilding schools. In the third month since the calamity hit, French volunteers arrived in the village of Gorkha, setting up clinics and proclaiming their intention to stay as long as necessary.",54,"Which city received help later than Kathmandu?
Answer choices
A) Pokhara
B) Dhading
C) Gorkha
D) Both B) and C)",D) Both B) and C),"The story narrates that after the Canadian team arrived in Kathmandu, American Red Cross set up in Pokhara and the UK team arrived in Dhading. The last to receive help was Gorkha, as it was where the French volunteers went. Hence, both Dhading and Gorkha received help after Kathmandu.",5
24,"In the wake of devastating earthquakes that rocked Nepal in 2015, international humanitarian missions sprang into action. The first group to arrive on the scene was a Canadian team that landed in the capital, Kathmandu, a week after the disaster, bringing with them needed medical supplies. Two weeks following the quake, The American Red Cross had set up shop in the badly hit city of Pokhara, providing shelter kits to the homeless population. Meanwhile, at the same time, a team from the United Kingdom had arrived in Dhading, distributing education materials and rebuilding schools. In the third month since the calamity hit, French volunteers arrived in the village of Gorkha, setting up clinics and proclaiming their intention to stay as long as necessary.",54,"Which international group arrived at the same time as the American Red Cross?
Answer choices
A) The French volunteers
B) The Canadian team
C) The UK team
D) None of the above",C) The UK team,"The story presents that both, The American Red Cross and a team from the UK had arrived two weeks following the quake. Therefore, they arrived at the same time.",6
25,"In the late 19th century, Thomas Edison in America invented the phonograph, which revolutionized the world of music recording and gibed birth to the music industry. In 1901, Guglielmo Marconi, an Italian inventor based in England, sent the first transatlantic wireless signal, establishing a way for global communication. Once a decade passed, in 1913, Henry Ford in America unveiled his highly efficient assembly line, accelerating the mass production of automobiles. It was not until 1958 that Jack Kilby and Robert Noyce invented the integrated circuit in Silicon Valley, paving the way for the development of miniature yet powerful computers. Jumping forward to 1990, Tim Berners-Lee, a British computer scientist, introduced the World Wide Web, transforming the way people access and share information across the globe.",55,"Which invention was developed first?
Answer choices
A. The phonograph
B. The integrated circuit
C. The World Wide Web
D. The transatlantic wireless signal",A. The phonograph,"The story mentions that the phonograph was invented in the late 19th century, making it the first invention mentioned in the timeline given in the story.",2
26,"In the late 19th century, Thomas Edison in America invented the phonograph, which revolutionized the world of music recording and gibed birth to the music industry. In 1901, Guglielmo Marconi, an Italian inventor based in England, sent the first transatlantic wireless signal, establishing a way for global communication. Once a decade passed, in 1913, Henry Ford in America unveiled his highly efficient assembly line, accelerating the mass production of automobiles. It was not until 1958 that Jack Kilby and Robert Noyce invented the integrated circuit in Silicon Valley, paving the way for the development of miniature yet powerful computers. Jumping forward to 1990, Tim Berners-Lee, a British computer scientist, introduced the World Wide Web, transforming the way people access and share information across the globe.",55,"Who invented the assembly line for mass production of automobiles?
Answer choices
A. Tim Berners-Lee
B. Guglielmo Marconi
C. Henry Ford
D. Jack Kilby and Robert Noyce",C. Henry Ford,The story clearly mentions that Henry Ford in America unveiled his highly efficient assembly line in 1913.,3
27,"In the late 19th century, Thomas Edison in America invented the phonograph, which revolutionized the world of music recording and gibed birth to the music industry. In 1901, Guglielmo Marconi, an Italian inventor based in England, sent the first transatlantic wireless signal, establishing a way for global communication. Once a decade passed, in 1913, Henry Ford in America unveiled his highly efficient assembly line, accelerating the mass production of automobiles. It was not until 1958 that Jack Kilby and Robert Noyce invented the integrated circuit in Silicon Valley, paving the way for the development of miniature yet powerful computers. Jumping forward to 1990, Tim Berners-Lee, a British computer scientist, introduced the World Wide Web, transforming the way people access and share information across the globe.",55,"Which invention was a significant development in the music industry?
Answer choices
A. Phonograph
B. Integrated circuit
C. World Wide Web
D. Assembly line",A. Phonograph,"The story mentions that the phonograph, invented by Thomas Edison, revolutionized the world of music recording, indicating a significant impact on the music industry.",4
28,"In the late 19th century, Thomas Edison in America invented the phonograph, which revolutionized the world of music recording and gibed birth to the music industry. In 1901, Guglielmo Marconi, an Italian inventor based in England, sent the first transatlantic wireless signal, establishing a way for global communication. Once a decade passed, in 1913, Henry Ford in America unveiled his highly efficient assembly line, accelerating the mass production of automobiles. It was not until 1958 that Jack Kilby and Robert Noyce invented the integrated circuit in Silicon Valley, paving the way for the development of miniature yet powerful computers. Jumping forward to 1990, Tim Berners-Lee, a British computer scientist, introduced the World Wide Web, transforming the way people access and share information across the globe.",55,"Where was the first transatlantic wireless signal sent?
Answer choices
A. Silicon Valley
B. America
C. Italy
D. England",D. England,"The story points out that the first transatlantic wireless signal was sent by Guglielmo Marconi, an Italian inventor based in England.",5
29,"In the late 19th century, Thomas Edison in America invented the phonograph, which revolutionized the world of music recording and gibed birth to the music industry. In 1901, Guglielmo Marconi, an Italian inventor based in England, sent the first transatlantic wireless signal, establishing a way for global communication. Once a decade passed, in 1913, Henry Ford in America unveiled his highly efficient assembly line, accelerating the mass production of automobiles. It was not until 1958 that Jack Kilby and Robert Noyce invented the integrated circuit in Silicon Valley, paving the way for the development of miniature yet powerful computers. Jumping forward to 1990, Tim Berners-Lee, a British computer scientist, introduced the World Wide Web, transforming the way people access and share information across the globe.",55,"Based on the innovations listed, which country was home to the most inventors?
Answer choices
A. Italy
B. America
C. England
D. None of the above",B. America,"From the story, two inventions were developed by inventors based in America - the phonograph by Thomas Edison and the assembly line by Henry Ford. Italy and England both hosted one of the inventors mentioned in the story. Hence, America is the country which was home to the most inventors.",6
30,"In 1998, the US government initiated a program that collected geographical data of every country around the world. They were able to complete North America by 2001, South America by 2004, and Asia by 2008. After taking a two-year break, they resumed their work in 2010, completing Africa by 2013 and Europe by 2016. However, due to political tensions, they were only able to complete the Middle East in 2019 and Antarctica remained uncharted until 2022. Throughout this period, data was updated every three years to ensure the accuracy of information.",56,"In what year was the geographical data collection of Asia completed?
Answer Choices:
A) 1998
B) 2001
C) 2004
D) 2008",D) 2008,"According to the text, Asia's geographical data collection was completed in 2008.",2
31,"In 1998, the US government initiated a program that collected geographical data of every country around the world. They were able to complete North America by 2001, South America by 2004, and Asia by 2008. After taking a two-year break, they resumed their work in 2010, completing Africa by 2013 and Europe by 2016. However, due to political tensions, they were only able to complete the Middle East in 2019 and Antarctica remained uncharted until 2022. Throughout this period, data was updated every three years to ensure the accuracy of information.",56,"If the data was updated every three years, what was the first year the data of Africa was updated after its initial completion?
Answer Choices:
A) 2014
B) 2015
C) 2016
D) 2017",C) 2016,"Africa’s data was completed in 2013. Hence, the first update would have been three years later, in 2016.",3
32,"In 1998, the US government initiated a program that collected geographical data of every country around the world. They were able to complete North America by 2001, South America by 2004, and Asia by 2008. After taking a two-year break, they resumed their work in 2010, completing Africa by 2013 and Europe by 2016. However, due to political tensions, they were only able to complete the Middle East in 2019 and Antarctica remained uncharted until 2022. Throughout this period, data was updated every three years to ensure the accuracy of information.",56,"By 2010, how many continents had their geographical data collection completed?
Answer choices: 
A) 1
B) 2
C) 3
D) 4",D) 4,"By 2010, according to the story, the geographical data collection of North America, South America, and Asia was completed (1998 to 2008) which is 3 continents. After a two year break, the collection resumed in 2010, making it 4 continents with Africa.",4
33,"In 1998, the US government initiated a program that collected geographical data of every country around the world. They were able to complete North America by 2001, South America by 2004, and Asia by 2008. After taking a two-year break, they resumed their work in 2010, completing Africa by 2013 and Europe by 2016. However, due to political tensions, they were only able to complete the Middle East in 2019 and Antarctica remained uncharted until 2022. Throughout this period, data was updated every three years to ensure the accuracy of information.",56,"When was the Middle East's geographical data updated for the first time after their initial completion?
Answer choices: 
A) 2019
B) 2020
C) 2021
D) 2022",D) 2022,"According to the story, the Middle East's geographical data was completed in 2019. Given that the data was updated every three years, the first update for Middle East would have been in 2022.",5
34,"In 1998, the US government initiated a program that collected geographical data of every country around the world. They were able to complete North America by 2001, South America by 2004, and Asia by 2008. After taking a two-year break, they resumed their work in 2010, completing Africa by 2013 and Europe by 2016. However, due to political tensions, they were only able to complete the Middle East in 2019 and Antarctica remained uncharted until 2022. Throughout this period, data was updated every three years to ensure the accuracy of information.",56,"If tensions hadn't delayed the collection, when could they have completed the geographical data collection of all continents?
Answer choices:
A) 2019
B) 2021
C) 2022
D) None of these",B) 2021,"The story states that after Europe was completed in 2016, they could have started the Middle East and completed it by 2019 (three years later). Then, they could have started Antarctica and finished it by 2021 (two years later). Consequently, if there had been no delay due to tensions, they could have completed data collection for all continents in 2021.",6
35,"In the year 2021, the governments of China, Russia, and India decided to jointly construct a road network that will connect their capitals; Beijing, Moscow, and New Delhi respectively. The project began in Beijing in the spring of that year. After completion, the section from Beijing to Moscow took two years due to the treacherous terrain and extreme weather conditions. The road from Moscow to New Delhi took another year due to the challenging geographical conditions and political disputes. Finally, in the spring of 2025, a grand inauguration ceremony was held in Delhi, where officials from all three countries announced the successful completion of this geopolitical endeavor.",57,"Where did the construction of the road network start?
Answer Choices:
A. Moscow
B. New Delhi
C. Beijing
D. Shanghai",C. Beijing,The story mentions that the project began in Beijing.,2
36,"In the year 2021, the governments of China, Russia, and India decided to jointly construct a road network that will connect their capitals; Beijing, Moscow, and New Delhi respectively. The project began in Beijing in the spring of that year. After completion, the section from Beijing to Moscow took two years due to the treacherous terrain and extreme weather conditions. The road from Moscow to New Delhi took another year due to the challenging geographical conditions and political disputes. Finally, in the spring of 2025, a grand inauguration ceremony was held in Delhi, where officials from all three countries announced the successful completion of this geopolitical endeavor.",57,"How long did the entire road network construction take?
Answer choices
A. Two years
B. Three years
C. Four years
D. Five years",C. Four years,"Given that the Beijing to Moscow section took two years, and Moscow to New Delhi took another year, and the project started in 2021 and ended in 2025, so the construction lasted for four years.",3
37,"In the year 2021, the governments of China, Russia, and India decided to jointly construct a road network that will connect their capitals; Beijing, Moscow, and New Delhi respectively. The project began in Beijing in the spring of that year. After completion, the section from Beijing to Moscow took two years due to the treacherous terrain and extreme weather conditions. The road from Moscow to New Delhi took another year due to the challenging geographical conditions and political disputes. Finally, in the spring of 2025, a grand inauguration ceremony was held in Delhi, where officials from all three countries announced the successful completion of this geopolitical endeavor.",57,"Which section of the road encountered political disputes?
Answer choices:
A. Beijing to Moscow 
B. Moscow to New Delhi
C. Beijing to New Delhi
D. Entire road network",B. Moscow to New Delhi,The story mentions that the road from Moscow to New Delhi faced political disputes.,4
38,"In the year 2021, the governments of China, Russia, and India decided to jointly construct a road network that will connect their capitals; Beijing, Moscow, and New Delhi respectively. The project began in Beijing in the spring of that year. After completion, the section from Beijing to Moscow took two years due to the treacherous terrain and extreme weather conditions. The road from Moscow to New Delhi took another year due to the challenging geographical conditions and political disputes. Finally, in the spring of 2025, a grand inauguration ceremony was held in Delhi, where officials from all three countries announced the successful completion of this geopolitical endeavor.",57,"At the end of project completion, where was the inauguration ceremony held? 
Answer Choices:
A. Beijing
B. Moscow
C. New Delhi
D. Shanghai",C. New Delhi,The story mentions that the ceremony was held in Delhi upon completion.,5
